ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
2ACA83C829C4B41E,electric_bike,2024-08-10T11:59:32Z,2024-08-10T12:16:59Z,Lincoln Ave & Addison St,TA1309000050,St. Louis Ave & Fullerton Ave,KA1504000090,41.946176,-87.673308,41.92481559681187,-87.71449506282805,member
F7BC3BF755D77112,classic_bike,2024-08-26T08:38:52Z,2024-08-26T09:03:13Z,Indiana Ave & 26th St,TA1307000005,Rush St & Hubbard St,KA1503000044,41.845687,-87.622481,41.890173,-87.626185,member
8E8AA689B9124ECE,classic_bike,2024-08-20T08:21:06Z,2024-08-20T08:23:17Z,Michigan Ave & Jackson Blvd,TA1309000002,Millennium Park,13008,41.8777679,-87.624164,41.8810317,-87.62408432,member
976B99B688C334BE,classic_bike,2024-08-08T11:57:03Z,2024-08-08T11:59:33Z,Michigan Ave & Jackson Blvd,TA1309000002,Millennium Park,13008,41.8777679,-87.624164,41.8810317,-87.62408432,member
117630B39AF489EA,electric_bike,2024-08-22T21:32:43Z,2024-08-22T21:45:40Z,Damen Ave & Cortland St,13133,Milwaukee Ave & Grand Ave,13033,41.915983,-87.677335,41.891578,-87.648384,member
9E4D17FC07CF5247,electric_bike,2024-08-14T06:37:20Z,2024-08-14T06:43:56Z,Clark St & Elm St,TA1307000039,Larrabee St & Kingsbury St,TA1306000009,41.902973,-87.63128,41.897764,-87.642884,member
67BA2FD2F2A780E7,electric_bike,2024-08-12T08:20:22Z,2024-08-12T08:32:10Z,Clark St & Schreiber Ave,KA1504000156,Clark St & Schreiber Ave,KA1504000156,41.999245,-87.671249,41.999245,-87.671249,member
91B27F651DE625F8,electric_bike,2024-08-25T16:42:57Z,2024-08-25T16:56:15Z,Franklin St & Monroe St,TA1309000007,Morgan St & 18th St,13163,41.880317,-87.635185,41.858086,-87.651073,member
45E3E68C08A23B8C,classic_bike,2024-08-29T18:46:30Z,2024-08-29T18:55:16Z,Damen Ave & Cortland St,13133,Albany Ave & Bloomingdale Ave,15655,41.915983,-87.677335,41.91402671273,-87.705126462,member
3CA276EE3376A498,electric_bike,2024-08-05T14:21:50Z,2024-08-05T14:24:50Z,Franklin St & Monroe St,TA1309000007,Franklin St & Lake St,TA1307000111,41.880317,-87.635185,41.885837,-87.6355,member
3C56E3FC76BA257C,classic_bike,2024-08-02T22:01:01Z,2024-08-02T22:21:08Z,State St & Randolph St,TA1305000029,Morgan St & Polk St,TA1307000130,41.88462107257936,-87.62783423066139,41.871737,-87.65103,member
1FC0B2C12AD55321,classic_bike,2024-08-29T12:36:36Z,2024-08-29T12:43:10Z,State St & Randolph St,TA1305000029,Franklin St & Lake St,TA1307000111,41.88462107257936,-87.62783423066139,41.885837,-87.6355,member
DBF09BE1BE634313,classic_bike,2024-08-29T08:07:02Z,2024-08-29T08:10:20Z,Franklin St & Monroe St,TA1309000007,Franklin St & Lake St,TA1307000111,41.880317,-87.635185,41.885837,-87.6355,member
27EEEA9729CF2AC0,classic_bike,2024-08-07T20:18:54Z,2024-08-07T20:31:36Z,State St & Randolph St,TA1305000029,Wells St & Polk St,SL-011,41.88462107257936,-87.62783423066139,41.872731542263075,-87.63351649045944,member
CBB93B978125BF0A,electric_bike,2024-08-17T15:15:18Z,2024-08-17T15:48:11Z,Michigan Ave & Jackson Blvd,TA1309000002,Southport Ave & Waveland Ave,13235,41.877689838,-87.62407136,41.94724,-87.66412,member
DC82832AC2935AE9,classic_bike,2024-08-12T17:11:58Z,2024-08-12T17:17:58Z,Franklin St & Monroe St,TA1309000007,Sangamon St & Washington Blvd,13409,41.880317,-87.635185,41.883165,-87.6511,casual
C4E348C6733DBBFE,electric_bike,2024-08-31T15:37:51Z,2024-08-31T15:40:59Z,State St & Randolph St,TA1305000029,State St & Randolph St,TA1305000029,41.88462107257936,-87.62783423066139,41.88462107257936,-87.62783423066139,casual
08E628B220CD1848,electric_bike,2024-08-21T18:07:20Z,2024-08-21T18:10:13Z,Franklin St & Monroe St,TA1309000007,Orleans St & Merchandise Mart Plaza,TA1305000022,41.880317,-87.635185,41.888243,-87.63639,member
F9BD66B3ADE3087D,electric_bike,2024-08-09T12:47:04Z,2024-08-09T13:09:22Z,Lake Park Ave & 35th St,KA1503000004,Halsted St & 21st St,13162,41.83127423549,-87.6087991946,41.85377981072743,-87.6466029882431,member
95B5859B40A911B2,classic_bike,2024-08-02T23:38:42Z,2024-08-02T23:41:31Z,Clark St & Elm St,TA1307000039,Clark St & Schiller St,TA1309000024,41.902973,-87.63128,41.907993,-87.631501,member
72BA1105E8ADEC8D,classic_bike,2024-08-17T17:58:23Z,2024-08-17T18:02:08Z,Clark St & Elm St,TA1307000039,Clark St & Schiller St,TA1309000024,41.902973,-87.63128,41.907993,-87.631501,member
F7E2BD06672068DD,classic_bike,2024-08-03T09:28:17Z,2024-08-03T09:31:33Z,Clark St & Elm St,TA1307000039,Clark St & Schiller St,TA1309000024,41.902973,-87.63128,41.907993,-87.631501,member
6CE084EC74B8F02B,electric_bike,2024-08-20T14:46:50Z,2024-08-20T14:52:56Z,Sheffield Ave & Wellington Ave,TA1307000052,Southport Ave & Belmont Ave,13229,41.9362534831413,-87.65266209840775,41.93947775040509,-87.6637476682663,member
7AD8C81154136FFB,classic_bike,2024-08-11T18:24:29Z,2024-08-11T18:37:10Z,Sheridan Rd & Noyes St (NU),604,Benson Ave & Church St,596,42.058239,-87.677432,42.048214,-87.683485,casual
AA1E08B537C5C22F,classic_bike,2024-08-28T08:37:07Z,2024-08-28T08:44:04Z,Sheridan Rd & Noyes St (NU),604,Benson Ave & Church St,596,42.058239,-87.677432,42.048214,-87.683485,member
BEC505114331F4DD,classic_bike,2024-08-06T17:04:48Z,2024-08-06T17:13:09Z,Sheridan Rd & Noyes St (NU),604,Benson Ave & Church St,596,42.058239,-87.677432,42.048214,-87.683485,member
573D76AA0C7932B2,electric_bike,2024-08-05T13:05:59Z,2024-08-05T13:14:02Z,Sheridan Rd & Loyola Ave,RP-009,Western Ave & Granville Ave,KA1504000129,42.00104377979,-87.6611982433,41.99416136902,-87.689438282,member
069B4B150EDA17CD,classic_bike,2024-08-02T16:41:36Z,2024-08-02T16:44:20Z,Stave St & Armitage Ave,13266,Milwaukee Ave & Rockwell St,13242,41.917741,-87.691392,41.92019556200566,-87.69265919923781,member
BD30716B53C70E1E,electric_bike,2024-08-19T09:39:28Z,2024-08-19T09:43:24Z,State St & Randolph St,TA1305000029,Field Blvd & South Water St,15534,41.88462107257936,-87.62783423066139,41.88634906269,-87.6175165471,member
7F2F48CFA67EF7AF,electric_bike,2024-08-24T13:40:01Z,2024-08-24T13:48:37Z,Clark St & Ida B Wells Dr,TA1305000009,Calumet Ave & 18th St,13102,41.8759326655,-87.6305845355,41.85761755293753,-87.61941075325012,member
